timestamp,open,high,low,close,volume
1778490000000,80000.0,80150.0,79950.0,80110.5,650.412
1778490900000,80110.2,80240.5,80080.0,80195.3,420.114
1778491800000,80195.0,80290.8,80120.4,80145.2,530.631
1778492700000,80145.5,80180.2,79980.6,80020.4,740.854
1778493600000,80020.1,80095.4,79890.2,79940.6,890.312
1778494500000,79940.5,79990.2,79810.0,79855.3,1120.415
1778495400000,79855.0,79920.6,79740.2,79790.1,980.442
1778496300000,79790.2,79890.5,79710.2,79860.4,1240.913
1778497200000,79860.0,80020.4,79830.1,79995.0,1430.762
1778498100000,79995.4,80140.5,79960.2,80085.2,1050.624
1778499000000,80085.0,80220.8,80050.4,80170.1,960.447
1778499900000,80170.2,80280.6,80140.2,80235.4,730.912
1778500800000,80235.1,80310.4,80190.5,80260.2,620.314
1778501700000,80260.5,80325.0,80185.0,80215.3,415.552
1778502600000,80215.2,80245.8,80090.2,80110.6,580.225
1778503500000,80110.4,80165.1,79980.4,80015.0,762.152
1778504400000,80015.0,80075.0,79910.6,79945.2,825.463
1778505300000,79945.3,79989.0,79850.2,79892.1,914.032
1778506200000,79892.2,80010.5,79870.0,79985.6,1155.189
1778507100000,79985.5,80120.4,79965.1,80090.3,1332.908
1778508000000,80090.1,80195.9,80050.0,80155.0,944.633
1778508900000,80155.0,80260.4,80122.3,80212.4,633.234
1778509800000,80212.5,80295.0,80175.2,80245.1,487.012
1778510700000,80245.2,80285.4,80160.5,80190.9,312.677
1778511600000,80190.8,80220.0,80080.4,80115.2,425.019
1778512500000,80115.3,80165.8,79995.1,80032.5,611.323
1778513400000,80032.4,80098.7,79960.0,80011.0,582.324
1778514300000,80011.1,80089.2,79975.3,80048.1,336.032
1778515200000,80048.0,80175.9,80022.0,80132.6,449.273
1778516100000,80132.5,80238.9,80110.1,80189.0,309.521
1778517000000,80189.1,80252.7,80145.6,80221.3,239.244
1778517900000,80221.2,80265.3,80170.0,80198.8,189.686
1778518800000,80198.9,80247.7,80112.5,80136.2,206.967
1778519700000,80136.1,80192.8,80055.2,80094.0,291.468
1778520600000,80094.0,80145.0,79982.1,80021.7,355.429
1778521500000,80021.6,80086.6,79934.5,79972.4,454.412
1778522400000,79972.3,80040.2,79911.0,80018.9,518.197
1778523300000,80018.8,80131.8,79990.4,80095.1,627.359
1778524200000,80095.2,80210.5,80065.9,80184.7,809.285
1778525100000,80184.6,80278.0,80150.2,80233.1,985.916
1778526000000,80233.0,80289.8,80144.7,80190.2,1931.587
1778526900000,80190.3,80232.8,80075.0,80112.5,1142.934
1778527800000,80112.4,80165.0,79998.9,80036.1,828.634
1778528700000,80036.0,80118.7,79971.2,80088.4,534.582
1778529600000,80088.5,80185.6,80060.7,80132.0,608.371
1778530500000,80132.1,80230.8,80115.6,80195.9,477.141
1778531400000,80195.8,80253.5,80150.0,80172.4,238.303
1778532300000,80172.5,80212.0,80064.5,80098.1,356.739
1778533200000,80098.2,80148.8,79996.8,80032.5,549.263
1778534100000,80032.4,80089.4,79945.6,79982.0,764.499
1778535000000,79982.1,80062.8,79910.1,80039.4,965.460
1778535900000,80039.3,80152.8,80011.0,80110.7,1118.879
1778536800000,80110.6,80220.0,80085.6,80175.2,828.381
1778537700000,80175.3,80256.6,80140.4,80210.1,640.073
1778538600000,80210.2,80262.8,80111.0,80138.9,598.428
1778539500000,80138.8,80183.3,80015.0,80045.2,833.710
1778540400000,80045.3,80113.4,79960.5,80089.1,1243.749
1778541300000,80089.0,80190.7,80062.3,80144.5,1557.777
1778542200000,80144.6,80245.1,80120.0,80218.0,904.800
1778543100000,80218.1,80280.4,80151.1,80196.3,687.012
1778544000000,80196.4,80225.0,80090.4,80122.9,448.321
1778544900000,80122.8,80185.0,80040.0,80075.6,527.210
1778545800000,80075.5,80123.5,79975.2,80011.4,712.677
1778546700000,80011.3,80091.9,79961.0,80058.2,633.234
1778547600000,80058.1,80132.8,80011.2,80104.9,422.354
1778548500000,80105.0,80198.7,80082.3,80166.0,321.132
1778549400000,80166.1,80259.1,80139.0,80215.5,386.463
1778550300000,80215.4,80280.9,80155.4,80198.1,381.132
1778551200000,80198.2,80234.3,80095.6,80132.4,580.225
1778552100000,80132.5,80189.0,80051.5,80112.0,762.152
1778553000000,80112.1,80164.9,80030.0,80065.7,955.189
1778553900000,80065.6,80110.0,79954.2,80004.9,1332.908
1778554800000,80005.0,80083.8,79910.3,80052.1,1210.452
1778555700000,80052.2,80150.0,80022.0,80125.8,1020.841
1778556600000,80125.9,80233.4,80100.4,80192.4,940.312
1778557500000,80192.5,80267.8,80150.2,80230.1,1080.552
1778558400000,80230.2,80290.4,80174.6,80212.5,1150.421
1778559300000,80212.6,80245.0,80111.0,80146.0,850.314
1778560200000,80146.1,80210.3,80085.4,80122.9,930.521
1778561100000,80122.8,80165.0,80010.5,80054.2,1340.624
1778562000000,80054.1,80120.8,79960.2,80012.7,1120.814
1778562900000,80012.6,80090.3,79920.4,80045.6,960.447
1778563800000,80045.5,80140.5,80010.1,80112.0,730.912
1778564700000,80112.1,80190.2,80080.4,80155.3,840.124
1778565600000,80155.4,80220.4,80110.2,80182.1,1050.631
1778566500000,80182.2,80240.6,80130.2,80158.4,920.415
1778567400000,80158.5,80210.5,80090.3,80120.6,1150.841
1778568300000,80120.5,80170.3,80020.1,80061.0,1540.622
1778569200000,80061.1,80120.4,79980.5,80025.2,890.314
1778570100000,80025.3,80110.5,79950.0,80080.4,950.412
1778571000000,80080.5,80191.0,80060.0,80144.1,580.225
1778571900000,80144.2,80220.8,80110.5,80175.6,355.189
1778572800000,80175.5,80240.4,80139.0,80211.2,332.908
1778573700000,80211.3,80259.1,80144.0,80182.5,762.152
1778574600000,80182.4,80224.9,80091.2,80131.0,381.132
1778575500000,80131.1,80170.0,80035.4,80072.3,386.463
1778576400000,80072.4,80120.2,79985.4,80031.9,414.032
1778577300000,80031.8,80091.0,79963.2,80012.0,322.354
1778578200000,80012.1,80099.9,79981.0,80074.5,633.234
1778579100000,80074.6,80157.6,80042.3,80118.1,427.631
1778580000000,80118.2,80190.4,80080.0,80139.6,527.210
